#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","0.0015271631,","0.005192355,",0.007330383,-,back,sitting,chair,-,(angular,velocity).
#datetime:,26/06/2013,12:44:07,0.007330383,-,back,sitting,chair,-,(angular,velocity).
##########################################,"0.0015271631,","0.005192355,",0.007330383,-,back,sitting,chair,-,(angular,velocity).
#activity:,12,-,bsc,-,back,sitting,chair,-,10s,velocity).
#subject,id:,7,0.007330383,-,back,sitting,chair,-,(angular,velocity).
#first,name:,sub7,0.007330383,-,back,sitting,chair,-,(angular,velocity).
#last,name:,sub7,0.007330383,-,back,sitting,chair,-,(angular,velocity).
#age:,25,"0.005192355,",0.007330383,-,back,sitting,chair,-,(angular,velocity).
#height(cm):,189,"0.005192355,",0.007330383,-,back,sitting,chair,-,(angular,velocity).
#weight(kg):,80,"0.005192355,",0.007330383,-,back,sitting,chair,-,(angular,velocity).
#gender:,male,"0.005192355,",0.007330383,-,back,sitting,chair,-,(angular,velocity).
@data,"0.0015271631,","0.005192355,",0.007330383,-,back,sitting,chair,-,(angular,velocity).
"670720200000,","-1.1618657,","0.74220127,",0.0421497,-,back,sitting,chair,-,(angular,velocity).
"670725182000,","-1.1618657,","0.7470882,",0.030543262,-,back,sitting,chair,-,(angular,velocity).
"670730909000,","-1.180497,","0.75900006,",0.03970624,-,back,sitting,chair,-,(angular,velocity).
"670735237000,","-1.1924089,","0.7583892,",0.0421497,-,back,sitting,chair,-,(angular,velocity).
"670740242000,","-1.1902709,","0.7583892,",0.03940081,-,back,sitting,chair,-,(angular,velocity).
"670745203000,","-1.1969905,","0.7556403,",0.037873644,-,back,sitting,chair,-,(angular,velocity).
"670750223000,","-1.1859949,","0.7464773,",0.03023783,-,back,sitting,chair,-,(angular,velocity).
"670755244000,","-1.1646146,","0.77488256,",0.03726278,-,back,sitting,chair,-,(angular,velocity).
"670760442000,","-1.1994339,","0.7831292,",0.044898596,-,back,sitting,chair,-,(angular,velocity).
